Range, Beam Intensity, Beam Spread
228.166,3150.06,0.000709196
207.68,4011.27,0.000628599
188.391,5122,0.000556389
170.177,6563.41,0.000491601
152.781,8481.08,0.000432541
136.905,10942.5,0.000380858
123.91,13733.5,0.000340007
114.234,16485.5,0.000310362
108.721,18409.7,0.000293712
108.649,18452.7,0.000293369
114.149,16565.8,0.00030961
124.181,13753.1,0.000339765
138.427,10787.6,0.000383581
155.027,8337.05,0.000436257
174.168,6364.6,0.000499208
194.453,4905.29,0.000568524
217.045,3762.59,0.000648996
239.859,2949.86,0.000732806
262.625,2356.73,0.000819669
287.113,1882.93,0.000916799
311.912,1526.59,0.00101795
336.602,1260.57,0.00111995
362.997,1040.71,0.00123228
388.039,877.194,0.00134191
415.151,734.25,0.00146635
441.7,622.29,0.00159241
468.538,530.874,0.00172363
495.085,455.849,0.00185961
522.106,391.795,0.00200535
549.723,337.752,0.00215927
578.517,290.411,0.00232799
606.623,248.295,0.00251701
634.961,212.846,0.00271781
663.526,182.913,0.00293096
691.35,161.284,0.00312049
719.882,142.685,0.00331675
749.565,126.162,0.00352628
779.979,113.554,0.00371586
809.627,103.583,0.00388957
839.485,94.7291,0.00406618
853.051,91.0111,0.0041479
869.55,86.2887,0.00425925
898.81,78.6998,0.0044587
929.28,71.7303,0.00466901
959.476,65.2366,0.00489453
991.372,58.8017,0.00515388
1021.91,53.3838,0.00540759
1053.67,47.8848,0.00570796
1085.73,42.5299,0.0060548
1116.79,37.9884,0.00640461
1148.23,33.8269,0.0067851
1181.38,29.8933,0.00721542
1212.11,26.7041,0.00763187
1245.06,24.0318,0.00804251
1277.73,21.8663,0.00842878
1310.05,19.9602,0.00881941
1344.77,18.2212,0.00922775
1377.35,16.7811,0.00961267
1410.81,15.4511,0.0100148
1445.16,14.4045,0.0103691
1479.01,13.4654,0.0107213
1512.5,12.6294,0.0110672
1547.31,11.8722,0.0114113
1581.1,11.1955,0.0117476
1615.85,10.619,0.0120588
1650.04,10.1465,0.0123328
1685.06,9.69306,0.0126143
1719.72,9.10203,0.0130135
1755.67,8.50397,0.0134591
1792.46,7.9531,0.0139129
1826.52,7.51185,0.0143115
1862.46,7.08104,0.0147358
1900.43,6.63439,0.0152188
1935.01,6.2436,0.0156831
1972.16,5.85616,0.0161883
2008.92,5.4824,0.0167256
2046.49,5.13144,0.0172823
2083.02,4.81103,0.0178428
2120.89,4.49889,0.0184452
2158.37,4.21495,0.01905
2195,3.90837,0.0197763
2233.53,3.61425,0.0205578
2272.15,3.37533,0.0212656
2309.94,3.18547,0.0218829
2348.43,3.00844,0.02251
2388.41,2.8674,0.0230492
2426.55,2.74134,0.0235658
2464.5,2.59349,0.0242202
