Range, Beam Intensity, Beam Spread
2505.65,2.42966,0.0250142
2545.11,2.28921,0.0257611
2584.77,2.16761,0.0264648
2624.62,2.05363,0.0271799
2664.66,1.98757,0.0276192
2704.3,1.92706,0.028041
2745.32,1.82642,0.028793
2785.36,1.71188,0.0297297
2825.38,1.61268,0.0306194
2865.78,1.53455,0.0313783
2907.57,1.45882,0.032171
2950.33,1.37853,0.0330821
2989.9,1.30926,0.0339342
3033.68,1.23543,0.0349199
3075.64,1.16891,0.0358863
3116.97,1.11794,0.0366825
3160.15,1.07612,0.0373756
3201.76,1.03057,0.0381794
3243.38,0.973828,0.039261
3286.91,0.919602,0.040386
3330.52,0.875224,0.0413816
3372.68,0.834899,0.0423537
3418.26,0.813642,0.0428891
3460.49,0.795657,0.0433579
3505.02,0.770867,0.0440346
3547.81,0.746763,0.0447248
3594.18,0.70855,0.0458964
3638.64,0.668878,0.0472184
3682.58,0.636299,0.0483932
3727.45,0.607533,0.0495064
3771.66,0.584836,0.0504398
3818.39,0.566116,0.0512485
3863.81,0.5483,0.0520563
3909.42,0.530726,0.0528925
3955.23,0.511017,0.0538829
4001.22,0.488217,0.0551048
4046.42,0.467406,0.0562963
4092.23,0.448022,0.0574789
4138.8,0.430225,0.0586329
4187.11,0.414501,0.0597116
4233.19,0.398994,0.0608377
4280.46,0.381573,0.0621854
4326.97,0.364437,0.0636043
4375.19,0.345903,0.0652567
4422.2,0.328164,0.0669672
4470.11,0.309944,0.0688747
4519.81,0.291947,0.0709304
4567.34,0.275454,0.0729875
4614.98,0.26023,0.0750556
4664.34,0.245713,0.0772021
4712.52,0.234208,0.0790393
4763.21,0.224195,0.0807482
4810.82,0.216977,0.0820481
4860.84,0.210594,0.0832497
4909.89,0.20872,0.0835987
4961.38,0.20818,0.0836847
5011.4,0.206681,0.0839643
5061.61,0.205004,0.0842834
5110.33,0.2012,0.0850489
5160.92,0.196764,0.085972
5212.59,0.188883,0.0877075
5262.68,0.181059,0.0895417
5313.84,0.172223,0.0917638
5365.89,0.164033,0.0939791
5415.89,0.156871,0.0960544
5468.49,0.15081,0.0979204
5522.15,0.145509,0.0996432
5574.28,0.144173,0.100075
5626.61,0.143342,0.100338
5679.12,0.142654,0.100554
5730.76,0.141091,0.10108
5784.72,0.137319,0.102418
5837.81,0.134155,0.10358
5891.09,0.131441,0.104607
5941.97,0.128522,0.105751
5996.43,0.125377,0.107028
6050.28,0.123268,0.107904
6106.12,0.121667,0.108577
6160.36,0.12142,0.108663
6213.97,0.119578,0.109462
6267.59,0.116584,0.110816
6323.15,0.112545,0.112736
6379.23,0.108863,0.114574
6433.59,0.107895,0.115056
6487.97,0.105428,0.116352
6545.4,0.100853,0.118897
6599.31,0.100824,0.11889
6657.13,0.101688,0.118367
6712.07,0.0975522,0.120788
6767.75,0.0951232,0.122273
6824.95,0.0950974,0.122265
6880.21,0.0936495,0.123168
6937.92,0.0915176,0.124547
6995.68,0.0878451,0.127057
7052.33,0.085503,0.128733
7111.74,0.0844762,0.129474
7169.42,0.0806731,0.132414
7225.37,0.0772713,0.135223
7285.37,0.0759155,0.136378
7340.87,0.0751958,0.136993
7402.09,0.0747698,0.13735
7460.74,0.074029,0.137998
7518.65,0.0727722,0.139138
7576.63,0.0708077,0.140996
7637.83,0.068622,0.143156
7696.01,0.0667008,0.145139
7755.61,0.0651717,0.146774
7814.64,0.0643115,0.147708
7876.63,0.0636577,0.148424
7935.62,0.0623834,0.149878
7997.18,0.0609501,0.151569
8056.44,0.059504,0.153338
8117.25,0.0582949,0.154863
8179.44,0.0574984,0.155884
8238.53,0.0571872,0.156274
8301.9,0.0560057,0.157854
8362.43,0.0547909,0.159533
8424.09,0.0535271,0.16134
8486.18,0.0523239,0.16312
8547.06,0.0512045,0.16483
8611.42,0.0500944,0.16658
8672.67,0.0490454,0.168287
8735.33,0.0480098,0.170027
8798.15,0.047018,0.171745
8861.14,0.0460278,0.173515
8922.67,0.0450847,0.175254
8988.15,0.0441099,0.177109
9049.68,0.0432007,0.178894
9113.49,0.0423005,0.180717
9179.6,0.0414192,0.182557
9244.83,0.040554,0.184421
9309.23,0.0397237,0.186266
9372.57,0.0389295,0.188085
9437.28,0.0381403,0.189946
9500.33,0.0373913,0.191767
9567.37,0.0366124,0.193718
9634.08,0.0358428,0.195707
9697.44,0.0351275,0.197614
9765.36,0.034368,0.199702
9831.29,0.033629,0.201801
9897.41,0.0328533,0.20408
9961.51,0.0320033,0.206674
10028.9,0.0310015,0.209868
10095.8,0.0298578,0.213711
10163.8,0.0292391,0.21587
10230.9,0.0286804,0.217877
10294.8,0.0277707,0.221288
10364.3,0.0270375,0.224153
10432.2,0.0266504,0.225702
10500.1,0.026423,0.226618
10566.9,0.0253989,0.230977
10636,0.0245825,0.234636
10704.3,0.0238739,0.237958
10772.1,0.0231963,0.241272
10843.2,0.0225069,0.244794
10912.2,0.0219871,0.24755
10979.9,0.0215045,0.250197
11050.8,0.0209,0.253642
11120.3,0.0205474,0.255712
11189,0.0201313,0.258227
11260,0.0196007,0.261553
11327.8,0.0189677,0.265704
11399,0.0185588,0.268487
11469.7,0.0181444,0.271401
11540.7,0.0177367,0.274365
11610.3,0.0174176,0.276753
11683.8,0.0170656,0.279463
11755.1,0.0164815,0.284161
11826.6,0.0158534,0.289496
11897,0.0153898,0.293632
11970.1,0.0150452,0.29682
12040.6,0.0147004,0.300121
12110.9,0.0143842,0.303248
12186.9,0.0140987,0.306156
12257.1,0.0138585,0.308669
12331.3,0.013652,0.310878
12402.9,0.013513,0.312388
12476.1,0.0134245,0.313354
12552,0.013365,0.314004
12624.2,0.0133046,0.31467
12698.2,0.0131848,0.31602
12770.8,0.0130222,0.317888
12847.5,0.0128215,0.320244
12921.8,0.012631,0.32253
12996.4,0.0125185,0.323901
13069.6,0.0124249,0.325053
13144.6,0.0123366,0.326152
13221.2,0.0122352,0.32743
13295,0.0120779,0.32945
13370.6,0.0118772,0.332086
13445.2,0.0116677,0.334909
13521.1,0.0114204,0.338339
13597.2,0.0111325,0.342473
13674.5,0.0108412,0.346819
13749.9,0.010607,0.350436
13829.1,0.0105041,0.35206
13904.5,0.0103717,0.354187
13981.5,0.0101444,0.357935
14058.7,0.00986795,0.36266
14136.1,0.00962413,0.366991
14214.2,0.00939174,0.371271
14293.1,0.0091266,0.376346
14369.5,0.00888919,0.381076
14448.1,0.00867823,0.385436
14525.1,0.00847076,0.389877
14603.6,0.00824122,0.394979
14682.4,0.00802811,0.399904
14761.4,0.00782335,0.404819
14843.1,0.00766808,0.408673
14922.5,0.00757718,0.410983
14998.1,0.0075192,0.412478
15081.7,0.00749562,0.413095
