Range, Beam Intensity, Beam Spread
12220.7,0.0376104,0.187729
12296.4,0.0364447,0.190587
12375.8,0.0351712,0.193868
12455.1,0.0338618,0.197431
12531.3,0.0324376,0.201547
12613.8,0.0308434,0.206484
12691,0.0293668,0.211407
12770.5,0.0282718,0.215295
12850.5,0.0279131,0.216603
12925.9,0.0278696,0.216748
13007.9,0.0277992,0.216996
13085.7,0.0277002,0.217353
13166.4,0.0274385,0.218334
13246.6,0.0273744,0.218567
13327.4,0.027365,0.218593
13403.5,0.027328,0.218728
13483.7,0.0270948,0.219622
13564.9,0.0269954,0.220004
13644,0.0270047,0.219965
13728.3,0.0268568,0.220542
13807.4,0.0265638,0.221703
13886.7,0.0261748,0.223273
13970.1,0.0256966,0.225252
14050,0.0252324,0.227225
14129.2,0.0248107,0.229065
14209.2,0.0243878,0.230956
14293.2,0.0239176,0.233117
14375.3,0.0234372,0.23539
14455.6,0.0229575,0.237729
14538.1,0.0224552,0.240256
14615.6,0.0219943,0.242649
14700.1,0.021517,0.245206
14780.2,0.0210838,0.247601
14860.7,0.0206487,0.25008
14943.9,0.020217,0.252617
15028.6,0.019801,0.255138
15107,0.0193635,0.257874
15190,0.0189458,0.260572
15273.7,0.0185523,0.263196
15357.3,0.0181739,0.265798
15438.3,0.0178259,0.268262
15519.4,0.0174585,0.270941
15604.7,0.0170702,0.273863
15685.8,0.0167244,0.276549
15768.9,0.0162896,0.28004
15851,0.0158621,0.28361
15931.6,0.0154813,0.286911
16015.7,0.0151495,0.289888
16097.5,0.014861,0.292556
16181.8,0.0145497,0.295521
16263.6,0.0143057,0.297914
16348,0.0139919,0.301075
16429.9,0.0137127,0.303978
16513.7,0.0134141,0.30718
16598,0.0131381,0.310234
16684.2,0.0128661,0.313338
16766.6,0.0125824,0.316678
16849.5,0.0133689,0.307028
16924.9,0.01299,0.311245
17004.6,0.0126432,0.315269
17085.1,0.0122944,0.319482
17165.9,0.0120068,0.323091
17246,0.0115776,0.328712
17324.2,0.0111242,0.334991
17405.4,0.010738,0.340645
17484.1,0.01038,0.346161
17566.8,0.0100762,0.351066
17645.6,0.00970669,0.35733
17725.9,0.00929096,0.36481
